pstar_mc,pstar_vb,true_star
0.8484189983366172,0.8608218878410605,true
0.9499770980974008,0.9947898840557272,true
0.9166595472017486,0.882324766088974,true
4.337829327585655e-204,0.005003580178979201,false
3.469090918642207e-19,0.005017995610395424,false
0.9999999502055757,0.9949903180972302,true
6.939742396719058e-118,0.005058917926976323,false
3.3591226852591426e-46,0.005038427907546469,false
0.00048125176469778017,0.006289283081055872,false
1.2775218208236864e-19,0.005291674878737722,false
0.9999999999999947,0.9949848847750092,true
1.03543851792528e-9,0.0058314271058424565,false
0.0,0.005001202702167598,false
6.804695774846462e-122,0.005051915824438846,false
1.2158581803672525e-6,0.005422815613293233,false
9.591087071978703e-15,0.005092608458347621,false
0.0071216286162175775,0.04104497701591504,false
0.0003786065003278133,0.00531842662716064,false
2.8114007367602238e-5,0.006725593452095844,false
0.003692342595743279,0.019784285538211245,false
0.07232787833619406,0.035654354713802655,false
0.6414402511741579,0.8639538795010364,true
1.229826124372879e-12,0.005055780300694387,false
6.09784003629764e-33,0.005083471892101242,false
1.6903086663875828e-12,0.005073281843680221,false
0.6806090431400411,0.9629779821279412,false
0.05443916248008608,0.8615668165654067,true
5.062471252372845e-5,0.0060472884811502686,false
2.8762025954176044e-7,0.005374859558003269,false
1.0,0.9949917728944908,true
2.0151131600125686e-17,0.00503943959106623,false
2.4252166328296357e-13,0.005164935449047692,false
3.9461620106844174e-278,0.005014772829499678,false
0.03189680195786692,0.01349603052976579,false
2.8487992026479264e-31,0.005035711936117211,false
1.0,0.9949726514574302,true
1.5715254745230764e-5,0.006656704579134624,false
1.735096394338288e-22,0.0051837558495921535,false
1.0,0.9949940223924004,true
4.5727974806625855e-125,0.005044557240392622,false
0.9997266895750117,0.9949773250785704,true
0.9711026952206324,0.9948765738609288,true
6.706308791648412e-18,0.005018985989601117,false
5.606807067081167e-20,0.005059656352990301,false
0.8521386507239328,0.8379743051496097,false
6.737488566666877e-7,0.005366128129603018,false
0.2941978645481597,0.5710495055465248,true
2.2717435812020466e-11,0.0050477129176458545,false
1.0,0.9949939482958172,true
9.85810500602084e-18,0.005055200390921219,false
0.41073704458464905,0.9151598514851492,false
3.5344162524279804e-6,0.005081443918375913,false
3.272170292124301e-18,0.005055699638887748,false
5.2475261868036516e-14,0.005531136111796285,false
6.878841830057967e-36,0.005013484069572088,false
2.7131170063433558e-11,0.005338008327804344,false
4.2449648619889786e-13,0.005078522269060017,false
1.1541463746653629e-5,0.005636530041376326,false
1.0,0.994983061567586,true
1.603196127746669e-18,0.005030080974833963,false
8.675572745565885e-5,0.007437082441471822,false
0.43634190992144983,0.34665729003144213,true
3.9648025283827665e-18,0.005028710068025491,false
1.0,0.9949782768943785,true
3.3277314624942254e-6,0.0057259662440015905,false
2.6997032670613978e-24,0.00502786489813466,false
1.0,0.9949961011981834,true
4.758314756043169e-5,0.005268727026167057,false
0.0017852579060430337,0.005032372279344732,false
0.9999999999966711,0.994985779776457,true
4.6666022568924584e-5,0.0056692141761322395,false
1.0,0.9949948377170216,true
0.0,0.005841874415846132,false
0.36868746317356715,0.6817296344965954,false
2.4169101196374523e-9,0.005137817804572195,false
1.0,0.9949805748873276,true
0.0,0.0050071099344700535,false
1.2991230720328664e-5,0.005659258637062797,false
1.0234965797655644e-51,0.005010430160906273,false
0.27936988791044787,0.4204625387391876,false
0.0,0.005006561777769211,false
1.0,0.994978612357274,true
0.9999996756126655,0.9949735471954946,true
1.0,0.9949967960204804,true
8.935420702095053e-7,0.005092772005558258,false
2.5439549334567975e-100,0.005011058079806572,false
0.2891087790130553,0.9177699331710968,true
1.115030121946385e-21,0.005034471422928477,false
0.0,0.005016880534810788,false
5.258332027685668e-10,0.005082203692575808,false
0.9823529462112248,0.9906747707499386,true
0.04658936707025084,0.07322293285049065,false
1.5955922949743782e-185,0.005018292884495177,false
3.950610339132771e-139,0.0050177745323988845,false
6.281159697567035e-35,0.005029974360604625,false
0.013863182470057304,0.08438816830968694,false
2.8386135680441917e-6,0.005054652229794659,false
8.08105327863849e-5,0.007646866008686328,false
1.7744903930118194e-11,0.00540352918151426,false
0.0003392728759285069,0.012590160050465937,false
1.0,0.9949830295100004,true
4.758205720291796e-186,0.005004983671685259,false
0.7954172650035957,0.9864945513743802,true
1.0,0.994961622016844,true
0.0013827059840443865,0.005096422133741591,true
0.0,0.005001711757708946,false
4.7607165565143705e-185,0.005006328409854158,false
3.3311042063883692e-15,0.005217094849118963,false
0.01560586907848973,0.006509918579135561,true
3.750609802667759e-43,0.005049550472434758,false
