objid,ra,dec,is_star,flux_r_nmgy,color_ug,color_gr,color_ri,color_iz,gal_frac_dev,gal_axis_ratio,gal_radius_px,gal_angle_deg
1237663784734491430,0.5157543360358936,0.5170853302523476,true,1.6921122,0.92029905,0.27861097,0.21126468,-0.09698681,0.0,0.14048727,0.7391848949470905,73.08961
1237663784734491889,0.586803611527893,0.4951119649007209,true,1.5222129,-0.046609454,2.343973,0.8150646,0.72376543,0.0,0.17444359,0.290232061436682,11.357209
1237663784734491187,0.5204585212086918,0.5988153067811494,true,4.07958,1.096995,0.28524047,0.07487584,0.1933501,1.0,0.19897038,0.17430298406668382,102.6025
1237663784734491316,0.4848982411805274,0.5400053361180527,false,8.920508,1.144476,0.9592488,0.28997168,0.35240474,0.0,0.87068,2.694518578172934,135.88257
1237663784734491456,0.5267566883371746,0.5212937835965186,false,3.4499006,0.5153296,1.0937842,0.3950966,-0.5360255,0.0,0.78370494,1.025642334210752,104.4915
1237663784734491518,0.5505470247949837,0.611305521193581,true,2.6012444,3.9475243,1.7205907,1.6417141,0.9173002,0.0,0.063094676,0.4949203946373679,50.561413
1237663784734491624,0.5906261851586088,0.6180009903308032,false,10.060383,-0.56460166,0.8063388,0.21621673,-0.17261264,0.52841663,0.3427618,6.6115254103535355,98.27569
1237663784734491452,0.5242648288404688,0.5304911488669628,false,3.1398647,3.4629827,0.8159694,1.0050327,0.23457386,0.39065978,0.6316464,3.378353937707766,113.481926
1237663784734491473,0.5333696880201515,0.6241542836424085,false,1.5067472,0.36113,0.7970059,0.06547143,0.53169924,0.9617853,0.05,2.128876670442446,42.51507
1237663784734491772,0.49136251337059633,0.5176552454975153,false,4.2812333,-2.274312,2.4534645,0.2732383,1.6671386,0.6726807,0.69719917,5.059971953883315,66.006386
1237663784734491157,0.48208923841850826,0.4179890428184417,true,3.6434786,1.3625386,1.2111255,0.86764485,0.47927088,0.0,0.19969591,0.2501224628602615,75.00771
1237663784734491287,0.4711424954880616,0.590682279736262,false,3.7107997,-4.274703,4.513489,0.19968988,0.59619427,1.0,0.30130637,5.79279600971877,127.40785
1237663784734491022,0.5752271309610961,0.4648015687897039,false,37.5665,1.2878011,0.6393325,0.39512783,0.28028077,1.0,0.69642484,1.6428468504337348,154.62361
1237663784734491409,0.5106029449224749,0.5894943400015877,false,8.902612,0.2929011,1.0960323,0.63520724,0.44950983,1.0,0.2119345,1.8933009017597544,91.59352
1237663784734491352,0.4937607226579299,0.5362328326916277,false,1.4558575,-1.3893862,0.39489284,0.5733484,1.1087738,0.96609455,0.05,1.3861024018489954,26.83365
1237663784734491523,0.5508533272775047,0.5077709382546817,false,1.4057033,1.6960292,0.10851137,0.13060005,-1.1356351,1.0,0.05,2.2971363681735415,46.288593
1237663784734491807,0.5122434625280707,0.5498827964139684,false,0.96490765,-0.07361611,0.6722517,1.152919,0.8373863,0.96356326,0.05,0.4168975759636272,114.22116
1237663784734491784,0.4998986165601913,0.6280063765801621,false,1.7001477,,1.4610298,0.4921781,0.70575917,0.36807933,0.5326178,1.578310824403859,162.55983
1237663784734491235,0.4452618136092142,0.4464156945904437,false,5.889497,-1.8944092,2.0958006,-1.2613479,0.91993874,0.6129211,0.106907345,48.416436320603495,85.93878
1237663784734491737,0.47528986205314183,0.6031449574401927,false,1.0505877,-0.08748796,0.5718198,0.54554206,-0.84982246,0.0,0.05,1.602790421909756,42.752975
1237663784734491344,0.4900390936867218,0.629377671856928,false,1.6978843,-0.15844256,0.96895885,0.040467583,1.0012964,0.7104475,0.05,1.0004201621720286,118.56623
1237663784734491880,0.5844953734260443,0.513130864490587,true,1.0989212,,1.0754378,0.7144926,0.25098634,0.26463994,0.09384452,0.8249879635945715,70.852806
1237663784734491377,0.4981950008926628,0.4157491472493228,false,1.0996425,2.2517745,-0.06157299,0.7742296,0.0082424,0.90963477,0.29226625,1.4356325070063272,23.105143
1237663784734491323,0.4863555759598679,0.5240688772105965,false,4.8876176,-1.6908152,1.1622548,0.7957319,0.5203374,0.8224136,0.81624955,3.853560999186352,68.51749
1237663784734491252,0.45572650089343014,0.436465968664817,false,2.5619354,0.7692415,1.1127305,0.19134091,0.6379815,0.0,0.5478973,1.5920606827495074,112.436104
1237663784734491712,0.4639171132796171,0.5339117189236686,true,0.70850766,,1.6197934,0.8539437,0.17685494,0.0,0.1967274,0.4371405776702996,15.488005
1237663784734491298,0.47653568974357263,0.5376671913618009,true,1.7402424,1.3719864,0.9644375,0.38507646,0.011174005,0.16899544,0.05,0.3824697600470648,41.518394
1237663784734491823,0.5328840912120185,0.581185175450106,false,1.6647841,-2.5870402,2.49436,0.5070076,0.5584289,0.57932043,0.43927994,3.0096874694631555,8.965269
1237663784734491821,0.5311417910456804,0.5750762415338937,false,1.2132562,-2.173383,0.6144015,1.1418011,0.45944673,0.0,0.38303885,1.1910541792108555,0.03092319
1237663784734490670,0.47161483376163105,0.5175529918727346,true,90.514015,1.2033674,0.4698213,0.16793796,0.09767901,0.98530036,0.771631,0.04882770449374661,105.466484
1237663784734491236,0.44614022216204496,0.4615154558171136,false,2.4935026,-0.5062591,1.2467506,0.49883613,0.5861954,0.48904303,0.831565,1.5036535985542063,145.29976
1237663784734491758,0.481313106928706,0.5138056564449696,false,1.7786785,2.8407156,0.10708898,0.80104446,0.8838993,0.39556465,0.3386746,2.746302371073251,91.37708
1237663784734491480,0.5356776586670922,0.5380704257780661,false,10.46095,0.36908886,0.870118,0.23765011,0.2443426,0.0,0.54543555,2.5766386528207796,96.885124
1237663784734491771,0.4905850130133089,0.576205650826582,false,1.3073742,-1.9099092,1.5746068,0.2431852,1.4014193,0.23246674,0.45995304,1.0353630841380417,56.582623
1237663784734491720,0.46872077273229173,0.425195434550748,false,3.6816096,1.0012393,1.2571778,0.29164678,-0.06333654,0.60561,0.41990414,3.2699969079759383,140.20723
1237663784734491108,0.4685832706172928,0.5386176049763565,true,13.108038,2.1835709,1.3473629,1.2132499,0.6679399,1.0,0.99998295,0.016191168782310653,105.48013
1237663784734491761,0.4818112914195982,0.4947424097298494,false,1.4843782,-3.2414205,0.95111823,0.17534263,2.7186182,0.36810377,0.06060852,2.92108365983674,132.64609
1237663784734491455,0.525332363217391,0.6085680440917733,false,2.99086,0.4166747,0.26731712,0.07500613,0.12366029,0.0,0.86358535,1.486184470581286,132.88246
1237663784734490927,0.467339808392369,0.6219430701185285,true,99.990654,2.248346,1.0615647,0.4187519,0.24863386,0.0,0.9782933,0.06356428969990123,73.528984
