objid,ra,dec,is_star,flux_r_nmgy,color_ug,color_gr,color_ri,color_iz,gal_frac_dev,gal_axis_ratio,gal_radius_px,gal_angle_deg,log_flux_r
8647474692482204941,0.542739650961117,0.586019508942356,false,1.0695221754250577,0.666051480425867,0.4489231102549113,0.4578524399523779,-0.6225798220823209,0.0,0.5852306485176086,1.1609670038175102,124.3129425048828,0.06721198371064954
8647474692482205344,0.513765551082528,0.59662827841574,false,1.00978914384701,0.1935626347557051,0.7889700584210221,0.9859889599824344,0.48711552336775193,0.8817068338394165,0.3710714280605316,0.646019373277221,48.97139358520508,0.009741540589690898
8647474692482204517,0.494274451182746,0.469776808160391,true,1.5053653090857946,1.3666018715394437,1.389089410996251,1.4790675645556206,0.7811096020776548,,,,,0.40903559903617304
8647474692482205426,0.527184476790592,0.612661771980628,false,2.1809837350033487,0.8731805257549059,0.590269067745955,0.3699067816446506,0.10915298475255816,0.0,0.7345767617225647,2.263181438349714,113.4580307006836,0.7797760296049572
8647475121978935519,0.540274392795848,0.630333869051994,false,1.5035266717913232,0.07623982427040928,1.08836386559998,0.4715475944465653,0.3849377349451548,0.0,0.4954969584941864,1.8501444296403364,17.971464157104492,0.4078134630904439
8647474692482205506,0.540335059299423,0.509738376545934,false,1.137053809453507,0.5592489042118854,1.0079830809320285,0.3392770010529733,-0.07175679112559,0.5135717391967773,0.300017774105072,1.692744969117521,64.0963134765625,0.12844053946519668
8647474692482204069,0.486400719841412,0.564960242699802,false,3.997123985509657,0.7427433776688446,0.965929493886844,0.06375341362784459,0.397827082156561,0.699428915977478,0.7512993216514587,2.768171556068189,81.73656463623047,1.3855750988902333
8647474692482204523,0.496890319851334,0.597743236905752,false,2.4040784672564164,0.5621340150469218,1.500705902088461,0.5622922685966021,0.3479465848653927,0.9388920068740844,0.3064103126525879,0.782158790212689,50.78302383422851,0.8771666564299692
8647474692482204185,0.518721684173173,0.581609156183209,true,24.350738008309616,1.885041202945651,0.8794193441867846,0.3300809111617467,0.17603365513194882,,,,,3.192562157418781
8647474692482204964,0.557760773926049,0.584662945229052,false,1.8996262627696696,0.355540419883408,0.6303813719105107,0.060629818793028825,0.4538642785614729,0.45289695262908936,0.6308363676071167,1.2529916835553718,104.89874267578124,0.6416571630182268
8647474692482204975,0.566746284741304,0.48310139732111,false,2.0403103827476743,0.8680389516487271,0.7455709247573874,0.4248679758737742,0.12474452846561504,0.0,0.4195602238178253,2.1222379773554176,125.70099639892578,0.7131019446884529
