ra,dec,is_star,gal_frac_dev,gal_axis_ratio,gal_radius_px,gal_angle_deg,flux_r_nmgy,color_ug,color_gr,color_ri,color_iz,log_flux_r_stderr,color_ug_stderr,color_gr_stderr,color_ri_stderr,color_iz_stderr
0.5157713949893271,0.5170853756904426,0.8608218878410605,0.010988961722613265,0.03537527476839271,0.10781776022610344,56.88172495093224,1.7762924059164915,0.9841874161925104,0.34912505325547194,0.13719336624216902,0.046934629326775786,0.04217305250002591,0.13395560433552547,0.04184704258443228,0.03609721631875873,0.050742608520930245
0.5868268135935322,0.49511716120707777,0.9947898840557272,0.01522942808350758,0.04171513806200286,0.08781393780616249,97.6227658689736,1.4596847892444054,1.096572080353795,1.8598762084561145,0.865911751257487,0.6749902468308004,0.04050157148645822,0.660205563900563,0.2332511582682329,0.0464733735337466,0.08450291308139296
0.5204619594091192,0.5988225003611648,0.882324766088974,0.4433795202889908,0.014836835431236864,0.04660519640164702,91.63395364055076,4.103783552428351,1.0332793401419875,0.3154282269627035,0.10018482674430368,0.051375423005062246,0.020799750206205295,0.1013794534602556,0.027939125814959036,0.029268312508246346,0.0488253764668315
0.4849483356254796,0.5399819215457379,0.005003580178979201,0.010165263984629044,0.9016140983025388,2.4945873048653713,135.5898512559102,8.992373289448857,0.6967386241795559,0.917895897095974,0.28133877824299874,0.3673953458120938,0.02084428088054573,0.1680001641506083,0.05016295399348464,0.03288167873759087,0.08147688810957456
0.5267675248523113,0.5212937230632158,0.005017995610395424,0.28506530812897196,0.7656610052864357,1.0396895089757363,100.76486001142744,3.5368284696618,1.13416414307264,1.0187415184820896,0.32561454786566735,0.01914214198827587,0.03247542926581404,0.3591651212149355,0.08380289053266861,0.050138127892259104,0.1633835100808106
0.5505628623871152,0.6113035180506119,0.9949903180972302,0.07847487073179016,0.4779771121490459,0.32043030218919527,57.45374313440455,2.60114556882907,1.7802215249233695,1.6693856836604617,1.6504890378848742,0.9021790804059364,0.0141919378021806,0.6121219906331566,0.11069987085942996,0.014773813421113266,0.02388245291851486
0.5906457245913093,0.617992400068812,0.005058917926976323,0.16565460508493512,0.5729811749926496,2.399836902426631,97.0938329842332,7.309903007706629,1.2025595898567545,0.908943924590881,0.3770201113450112,0.2880342268902538,0.023936584751399367,0.291408174138764,0.06026968012737734,0.03591308615758182,0.09208988906160298
0.5243111726042958,0.5304783990671763,0.005038427907546469,0.2535789596519839,0.8868758487254839,3.145321249324695,152.56108235171288,3.8727117490441674,2.166615266090634,1.0095548736040565,0.8910739119229589,0.3522087271835197,0.03950737805345659,0.7555982329510136,0.13924367593513912,0.047328165638847154,0.11496375048495562
0.5333589818097965,0.6241479404075058,0.006289283081055872,0.01995166464225242,0.02239681526248389,0.21944705505413936,40.90979618481268,1.273378267169014,1.0085663537040794,0.6811265714486581,0.31471694102995335,0.372261759120871,0.07227123501293374,0.48158382076610673,0.138696955772887,0.10249683999627636,0.20514953961836985
0.4913764952949268,0.5176522372188602,0.005291674878737722,0.34866174247567255,0.6304561468802128,1.7350722104774483,25.338685213489946,2.5619382273308746,1.2142933890007777,1.5610887564729057,0.6491629618429648,0.5061001724159198,0.04777751577443244,0.6780412713349315,0.19331156774708907,0.05824588058735464,0.12233057520072906
0.4820985948400142,0.41800377586399706,0.9949848847750092,0.024528252462131257,0.044417981581666134,0.07067297420043818,47.37508464531552,3.7471571234717183,0.8486826674075871,1.217053203163573,0.8498799357707032,0.47927159413514175,0.017815501476899073,0.28267381620347465,0.06635184558637802,0.021821596239706063,0.04147404254875189
0.47116758855813096,0.5907169461263785,0.0058314271058424565,0.9874508729370992,0.6164640512631289,2.609491071095249,136.1744006502665,2.9107636904540417,0.5824517431324132,1.5078868541970376,0.6631456718436634,0.6221288782171399,0.04883560551900612,0.5133015808598895,0.20898509402755536,0.05863040674055972,0.11722427957786331
