name,percentile
log_flux_r,0.3072
log_flux_r,0.2064
log_flux_r,0.4656
log_flux_r,0.0896
log_flux_r,0.4768
log_flux_r,0.0032
log_flux_r,0.0
log_flux_r,0.3824
log_flux_r,0.8096
log_flux_r,0.1936
log_flux_r,0.0192
log_flux_r,0.1024
log_flux_r,0.3024
log_flux_r,0.1312
log_flux_r,0.0
log_flux_r,0.1408
log_flux_r,0.032
log_flux_r,0.0112
log_flux_r,0.5792
log_flux_r,0.9392
log_flux_r,0.1008
log_flux_r,0.0864
log_flux_r,0.0
log_flux_r,0.504
log_flux_r,0.0
log_flux_r,0.1488
log_flux_r,1.0
log_flux_r,0.9536
log_flux_r,0.0
log_flux_r,0.08
log_flux_r,0.5712
log_flux_r,0.4768
log_flux_r,0.4016
log_flux_r,0.4656
log_flux_r,0.0208
log_flux_r,0.112
log_flux_r,0.3856
log_flux_r,0.0736
log_flux_r,0.2832
log_flux_r,0.1248
log_flux_r,0.0096
log_flux_r,0.3648
log_flux_r,0.0016
log_flux_r,0.0496
log_flux_r,0.0
log_flux_r,0.7504
log_flux_r,0.432
log_flux_r,0.0
log_flux_r,0.0
log_flux_r,0.048
log_flux_r,0.1392
log_flux_r,0.8336
log_flux_r,0.2128
log_flux_r,0.0544
log_flux_r,0.2192
log_flux_r,0.2736
log_flux_r,0.5744
log_flux_r,0.0176
log_flux_r,0.0
log_flux_r,0.2784
log_flux_r,0.0432
log_flux_r,0.424
log_flux_r,0.0
log_flux_r,0.9296
log_flux_r,0.0
log_flux_r,0.0528
log_flux_r,0.1824
log_flux_r,0.16
log_flux_r,0.808
log_flux_r,0.6096
log_flux_r,0.0544
log_flux_r,0.2416
log_flux_r,0.008
log_flux_r,0.3232
log_flux_r,0.1552
log_flux_r,0.0
log_flux_r,0.3824
log_flux_r,0.2352
log_flux_r,0.0
log_flux_r,0.1616
log_flux_r,0.2032
log_flux_r,0.1264
log_flux_r,0.0
log_flux_r,0.0976
log_flux_r,0.0208
log_flux_r,0.064
log_flux_r,0.7328
log_flux_r,0.1312
log_flux_r,0.3248
log_flux_r,0.64
log_flux_r,0.0
log_flux_r,0.2112
log_flux_r,0.0
log_flux_r,0.0544
log_flux_r,0.9776
log_flux_r,0.2512
log_flux_r,0.0016
log_flux_r,1.0
log_flux_r,0.4272
log_flux_r,0.688
log_flux_r,0.1616
log_flux_r,0.1024
log_flux_r,0.4912
log_flux_r,0.2192
log_flux_r,0.1328
log_flux_r,0.1888
log_flux_r,0.3152
log_flux_r,0.3888
log_flux_r,0.2144
log_flux_r,0.3184
log_flux_r,0.0
log_flux_r,0.872
color_ug,0.2848
color_ug,
color_ug,0.3744
color_ug,0.376
color_ug,0.1424
color_ug,
color_ug,0.344
color_ug,0.024
color_ug,0.2976
color_ug,0.368
color_ug,
color_ug,0.76
color_ug,1.0
color_ug,0.9184
color_ug,0.1024
color_ug,0.7072
color_ug,
color_ug,
color_ug,0.024
color_ug,
color_ug,0.5104
color_ug,
color_ug,0.4992
color_ug,0.024
color_ug,0.4608
color_ug,
color_ug,
color_ug,
color_ug,0.008
color_ug,0.0128
color_ug,0.3968
color_ug,
color_ug,0.1856
color_ug,0.2608
color_ug,
color_ug,0.9872
color_ug,0.1392
color_ug,0.9248
color_ug,0.9248
color_ug,0.704
color_ug,0.032
color_ug,
color_ug,0.1088
color_ug,0.12
color_ug,0.0512
color_ug,0.9984
color_ug,0.0176
color_ug,0.5008
color_ug,0.9072
color_ug,0.0
color_ug,0.0256
color_ug,0.824
color_ug,0.3664
color_ug,
color_ug,0.8464
color_ug,0.7696
color_ug,0.4048
color_ug,
color_ug,0.9456
color_ug,0.4336
color_ug,1.0
color_ug,
color_ug,0.7888
color_ug,0.1872
color_ug,0.1024
color_ug,
color_ug,0.7136
color_ug,0.9632
color_ug,0.5504
color_ug,0.792
color_ug,0.1456
color_ug,0.032
color_ug,0.7056
color_ug,0.6672
color_ug,0.0224
color_ug,0.0128
color_ug,0.888
color_ug,
color_ug,0.9344
color_ug,0.0
color_ug,0.8912
color_ug,0.8848
color_ug,
color_ug,0.0048
color_ug,
color_ug,0.4768
color_ug,
color_ug,0.7312
color_ug,0.5088
color_ug,0.664
color_ug,
color_ug,
color_ug,0.0656
color_ug,0.4544
color_ug,0.0368
color_ug,0.3488
color_ug,
color_ug,0.7152
color_ug,
color_ug,0.0
color_ug,0.5472
color_ug,0.0464
color_ug,
color_ug,0.5712
color_ug,0.4096
color_ug,0.8816
color_ug,0.6288
color_ug,0.1808
color_ug,
color_ug,0.7312
color_ug,0.304
color_ug,0.3232
color_ug,0.1024
color_ug,0.3536
color_ug,0.3168
color_ug,
color_ug,0.7536
color_ug,0.0352
color_ug,0.4864
color_ug,
color_ug,0.0128
color_ug,0.224
color_ug,0.1072
color_ug,0.824
color_ug,0.1936
color_ug,0.0064
color_ug,0.72
color_ug,0.672
color_ug,0.1536
color_ug,0.4144
color_ug,0.4912
color_ug,0.0032
color_ug,0.0016
color_ug,
color_ug,0.3888
color_ug,
color_ug,0.5824
color_ug,0.392
color_ug,0.1456
color_ug,0.072
color_ug,
color_ug,0.0
color_ug,0.1968
color_ug,0.0128
color_ug,0.8496
color_ug,0.216
color_ug,0.1328
color_ug,0.5584
color_ug,0.1616
color_ug,
color_ug,
color_ug,0.4816
color_ug,
color_ug,0.384
color_ug,0.0
color_ug,0.3504
color_ug,0.6496
color_ug,
color_ug,0.2384
color_ug,0.88
color_ug,
color_ug,
color_ug,
color_ug,0.2208
color_ug,0.0112
color_ug,0.0304
color_ug,
color_ug,0.56
color_ug,0.3376
color_ug,0.2992
color_ug,
color_ug,0.576
color_ug,
color_ug,0.9216
color_ug,0.0512
color_ug,0.088
color_ug,0.1904
color_ug,0.9648
color_ug,
color_ug,0.3808
color_ug,0.9088
color_ug,0.464
color_ug,1.0
color_ug,0.4496
color_ug,0.864
color_ug,0.5536
color_ug,
color_ug,0.432
color_ug,0.432
color_ug,0.6
color_ug,0.1536
color_ug,0.1408
color_ug,1.0
color_ug,
color_ug,0.4928
color_ug,0.0048
color_ug,0.9888
color_ug,
color_ug,0.4752
color_ug,0.1088
color_ug,0.2112
color_ug,0.5264
color_ug,0.632
color_ug,0.4528
color_ug,0.8192
color_ug,0.0
color_ug,0.0
color_ug,0.6752
color_ug,0.0832
color_ug,0.3456
color_ug,0.896
color_ug,
color_ug,0.9984
color_ug,1.0
color_ug,0.9408
color_ug,
color_ug,0.1008
color_ug,0.56
color_ug,0.3264
color_ug,
color_ug,0.0928
color_ug,0.2272
color_ug,0.9616
color_ug,0.6368
color_ug,0.424
color_ug,0.7888
color_ug,0.3376
color_ug,0.0256
color_ug,0.672
color_ug,0.1104
color_ug,0.1936
color_ug,0.5888
color_ug,1.0
color_ug,0.4736
color_ug,0.056
color_ug,0.5856
color_ug,0.4416
color_ug,0.0112
color_ug,
color_ug,0.0704
color_ug,
color_ug,0.0
color_ug,0.8128
color_ug,0.896
color_ug,0.2992
color_ug,0.008
color_ug,0.6912
color_ug,0.6224
